Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
1. Dec 14 Happy Path,M1,,CPW Dashboard,"CPW Dashboard - Cases Table, Cancel Case, Add/Edit Comments",,,,,Done,Pod 2,"Cases Table (1 GET Endpoint, 1 DataGrid), Cancel Case (1 Form, 1 POST Endpoint), Manage Workers Modal, Non-Agency Services Table (1 GET Endpoint, 1 DataGrid), Add/Edit Comments (1 GET, 1 POST), 1 Add Form, 1 Edit Form",,
1. Dec 14 Happy Path,M1,,Integration,"JARVIS GET Person IDs 
(fka STAR Mainframe)",,,,0,,,,,
1. Dec 14 Happy Path,M1,,Integration,JARVIS Magic Button Case Creation,,,,0,,,,,
1. Dec 14 Happy Path,M2,,Associations,"Case Associations - All, Case Members, Relatives/Family Support, Professionals - Inclusive of association change, parental visits required, level of engagement",,,,43,14,Pod 1,,,
1. Dec 14 Happy Path,M2,,Associations,Case Associations - Edit Case Member Relationships drawer, ,,,5,13,Pod 1,,,
1. Dec 14 Happy Path,M2,,Authentication & Role Synchronization,Log in via Okta and pick a CPW or Supervisor role. ,,,,,13,,,,
1. Dec 14 Happy Path,M2,,Authentication & Role Synchronization,Logging in as a real user,,,,,,,,,
1. Dec 14 Happy Path,M2,,Case Manager Dashboard,Case Manager Ongoing Cases Table,,,,1,14,Pod 2,,,
1. Dec 14 Happy Path,M2,,Case Setup,Case Setup Progress Tracker Banner,,,Visible but not fully functional/hooked up as part of MS2,2,11,Pod 1,,,
1. Dec 14 Happy Path,M2,,Courts,Add Hearing/Order,,,,,14,Pod 2,,,
1. Dec 14 Happy Path,M2,,Courts,Add/Edit Agency Modal,,,,,12,Pod 2,,,
1. Dec 14 Happy Path,M2,,Courts,Add/Edit Court Cases Without Contacts,,,,,14,Pod 2,"1 POST Endpoint, 1 PATCH Endpoint, 1 Form",,
1. Dec 14 Happy Path,M2,,Courts,Add/Edit Court Contact Modal,,,,,13,Pod 2,,,
